id,name
555,Terraria
4010,Net Versus
7211,Blue Reflection
4942,Quantum Gate
5204,Shoppe Keep
3942,Last Half of Darkness
9088,Crescent Satsujin Jiken
8078,Touhou Mystia's Izakaya
7819,Spice and Wolf
9110,Tesco
8983,Sui Mario
4398,Tales from Space
4763,Bille & Trille
2279,Wings of Death
2407,Outcast
8282,Arcade Games
9067,Dungeon Inn
6628,Doki Doki Majo Shinpan!
3177,Golful Golf
8737,Motor Rally
8202,Grey Heritage
9137,World of Warcraft
4536,Derby Owners Club
7598,Tap Wizard
7444,Early American Wars
8847,Beat the Boss
7672,Money Movers
5007,Fighting Vipers
8940,California Games
4160,Galaxy Online
8293,Feverfew
7630,Fallstreak
631,Voyeur
3807,Funky Barn
8804,Super Dungeon Boy
2834,Dark and Light
7852,Elsword
2325,Challenge Me
2652,RPG
2659,Assassin's Creed Chronicles
8072,Doraemon no Quiz Boy
8317,Heart no Kuni no Alice
4910,Sega Worldwide Soccer
1899,Once Upon a Time
5356,seven mysteries
8502,Chrismtas Stories
941,Dynasty Tactics
2953,G1 Jockey
1959,Fate
8732,Blood Harvest
4067,Jet Car Stunts
5094,Globetrotter
6056,Fantastical
7079,Toricky
7078,Sugoi RPG
2972,Johnny
3093,Super Nichibutsu Mahjong
9078,Super Mario 74
7701,Andro Dunos
8971,Super Beco World
5115,Cadillac
8745,Lucah
2905,One Piece Unlimited
3058,Aria
5264,Blok Drop
6363,Dark Fracture
2498,Rize of the Summonds
5041,AFL Live
9041,Ultimate Sliding Puzzle
5581,Bishoujo Mangekyou
7807,Red Matter
8805,Hidden Memory
4846,Chart Wars
8851,Yudashi Peril
2229,Battle Fantasia
5989,Bellini - den tossede troldmand
2285,Darwinia
3435,Keyboardmania
7813,Project 575
9064,SCHOOL DAYS
7610,QP Shooting
6905,Dark Eyes
6944,Gateway
3936,ESPN
7139,F-1 Hero
1489,Senran Kagura
7831,I Wanna Be The Guy
7702,Trivial Pursuit Live!
4867,PGA Tour Golf
4227,Blocker
9111,The Dark Pictures Anthology: Season One
324,Empire Earth
1093,Chex Quest
8806,Huni Kuin
7984,Soul Anchor
6079,Dark Age of Camelot
3230,Fairy Tail
5045,Galaxy Force
8584,FrankenStorm
8571,The Telwynium
4632,School Rumble
8715,The Deity Machine
6078,Every Child Can Succeed
3195,Despicable Me
4936,Thrillville
2194,Simple 1500
2912,Sinjid
1239,Eador
8852,Haunted Obachestra
1247,Dark Seed
110,Prison Break
3955,9 Clues
8321,Sega Genesis Classic Collection
8635,Namco Anthology
6698,Crazy Penguin Catapult
4003,Fortune Wheel Slots
1040,Parkan
3201,Tap Tap Arcade
8562,Deducto
2356,Evolve
6087,Flappy Golf
8699,NHL All-Star Hockey
7085,Cu-On-Pa
8101,Bubble Tanks
8008,Doodle Jump
4084,Mazinger
4263,Jillian Michaels
9065,New Series
8118,Pixel Pulps
4285,Dolucky
7874,Starry Sky
9112,The Dark Pictures Anthology: Season Two
3963,Mythic Wonders
9027,The Cecil
9086,SHIFT
4144,English Dream
6447,Senshinkan
2941,Kaizou Choujin Shubibinman
4921,Golf Resort Tycoon
8606,Detective Barbie
4412,Spy vs. Spy
8132,Team Xtreme
7131,Secret Game
7981,Great Adventures by Fisher-Price
8341,Disk NG
5154,Dragon Buster
7193,Zafehouse Diaries
8517,Super Mario: Fushigi no Korokoro Party
4666,Mecho
2790,Delta
7723,Rivals of Aether
8844,David Slade Mysteries: Case Files
2422,Preppie!
7890,Cats are Liquid
6876,Mystery Places
763,Samurai Warriors
7121,Soccer Manager
2286,Nanostray
1895,Ni no Kuni
8478,Ooh and Aah
2461,B.C.
7359,Magical Girl Lyrical Nanoha
2688,SNK vs. Capcom: Card Fighters' Clash
8021,Total Drama Island
4057,Battlecruiser
5694,Pilot Brothers
7087,Rollers of the Realm
8093,Touhou Big Big Battle
6354,Tom Clancy's Rainbow Six
7915,RoboCop 2D
7854,Club Penguin: Elite Penguin Force
5363,Airlines
1443,Magic: The Gathering
121,Close Combat
7724,Tasac
8092,Flyff
7911,Meine Liebe
7925,Top Gear Pocket
4578,Speed Racer
1724,MySims
5276,A Tale of Caos
7371,grisaia phantom trigger
2535,Cool Boarders
4581,The Stalin Subway
3171,Ashita no Joe
8724,Poop Collector
8973,Super NemMeViu World
703,Active Life
7778,Shakugan no Shana
3055,Hopeless
7985,Hakoniwa Explorer
8169,Ro-Kyu-Bu!
7926,Top Gear Rally
3405,Umihara Kawase
521,Animal Crossing
7340,Megaman Sprite Game
6719,Dungeon Warfare
8652,Super Robot Taisen: Scramble Commander
8020,Total Drama Action
9113,Ice Scream
5681,Black Raven
4518,Air Ranger
8518,Crimson Keep
8335,The Legend of Spyro
9098,Adventure Field
3005,Le Tour de France
9087,dungeon hunter 2
7780,Wakfu
8187,Dragon Quest: Monster Battle Road
3102,Gundam VS
952,Crash Time
8283,All Out Action
2239,Gallop Racer
567,Summoner
4310,RosenkreuzStilette
9030,scrutinized
6952,Welcome to Pia Carrot!!
5969,Folklore
2326,1849
9104,Creepy Tale
2569,Pinky Street: Kira Kira
2740,The Golf Club
5588,Bad Dream
7892,Clock Zero
8203,La La Land
1524,Masters of the World
7986,Haunted Museum
8524,Gakuen Handsome
6360,The Architect Saga
6459,Grand Poo World
850,Hunter: The Reckoning
9115,The Ur-Quan Masters
628,Dungeon Master
8427,FAR
1286,Zero Escape
7327,Ore No Animism
3211,Bike Rider DX
8503,Sift Heads World
4093,My Farm
891,Asphalt
7101,Caveman Craig
3187,Frog Fractions
7200,Occupation
1628,Xenon
3943,Goal!
4494,Chopper
3793,Cosmo Police Galivan
6299,Road Blaster
675,Spy Hunter
8450,Aoki Densetsu Shoot!
7784,Ninja-Kid
6182,Mario Kart Arcade GP
8352,Harvest Moon GBC
4132,Inuyasha
7120,Game & Watch: Crystal Screen
6946,Corum
4997,Do You Like Horny Bunnies?
8134,Silkroad
1097,Skweeks series
4850,Ibara
970,Radirgy
8284,Mini Tiger Games
315,Trauma Center
6959,Taxi
4955,Fantastic Fossils
1657,Phantasie
3185,Quiet
5257,1 on 1
5198,Microsoft Arcade
8063,Super Double Yakuman
4377,The Adventures of Sam Car
9114,Free Stars
7459,Xiao Ao Jiang Hu
9028,welcome to the game
9168,Disillusion
7708,Final Fantasy XV
2130,The Collider
9029,welcome to the game 2
6307,Phonequest
4967,SNK Arcade Classics
7492,PD Ultraman
876,Pachinko
8285,Tiger Classic Games
2495,No Rush
4305,Air Traffic Controller
3315,Gunslugs
2490,Framed
7514,MULEniverse
4883,RealSports
2264,Mercenaries
8449,Super Bonk
3879,Berks
2332,Grey Goo
3313,Nanosaur
538,Starflight
1348,Cherry Tree High
1014,Foreign Legion
4958,Zombie Smashers X
4577,Robocalypse
662,NFL Street
7618,Fishhead
7916,Sokocat
1214,Drakensang
2719,The Crew
5014,War Wind
4111,Thoroughbred Breeder
1135,The Last Ninja
5461,Mary Skelter
4492,Mighty Hits
2494,Carnival Games
2354,A Wizard's Lizard
7726,Free Rider
1202,Superfrog
7306,Urban Champion
2202,King's Valley
6191,Harvest Moon (old)
3570,Love Game's Wai Wai Tennis
1901,Jerome Lange
8204,Terramachi
4998,The Lord of the Rings - A Software Adventure
9197,The Unknown Fear
5697,Thinkrolls
6710,Dezaemon BSX
2700,Exploding Fist
7895,Flood Runner
4380,Janline
2599,Pillars of Eternity
8380,Whack Your
4696,Glory Days
5089,Shadow Man
8751,Golden Idol Mysteries
8790,Star Shift
5905,Limbo
3223,Josou Gal Bitch Gakuen
7834,EL-SPIRITS Retro
4073,Wind-Up Knight
2288,Zero Gunner
1205,Hugo's House of Horrors
7719,Order from Caos
3388,Super Brawl
6133,Mobile Suit Gundam
5171,"Asaki, Yumemishi"
4138,Wallace & Gromit
1168,Phantom Dust
8144,Zippy the Circle
4503,Puchi Copter
3760,Airwolf
5408,Trick Shot
7133,Exotium
5499,Train Conductor
6703,BS-X
3003,PlayLink
8929,Kuroinu
9198,Call to Power
3956,Mychess
8133,Gals Panic
7624,GetsuFumaDen
9080,Ciconia When They Cry
2710,Star Raiders
2464,Eon Altar
2000,Farm Frenzy
6015,Hack'n Stalk
2519,Atelier: Iris
4597,Esper Dream
5411,Fairune
8542,Kinnikuman Muscle Grand Prix
7775,Bowman
2076,101-in-1 series
1911,"Pirates, Vikings and Knights"
8070,O-chan no Oekaki Logic
3233,Conquest of Elysium
2750,Knightmare
9038,Sumikkogurashi
1221,M.A.X.
1220,Seven Cities of Gold
8342,Namco History
2927,Star Wars: Rebel Assault
944,RoboCop
625,FlatOut
2218,Dance Central
1101,Near Orbit Vanguard Alliance
1280,Xenus
8343,Namco Collection
7494,Saikyou Habu Shougi
2174,Tube adventures
2514,Jack N' Jill
5102,Every Extend
7917,Little Magic
1712,Fire Brigade
3366,Kingdom of Loathing
4453,Rent A Hero
2333,Witch & Hero
8403,Ochaken no Heya
7978,Chousoku Shoujo
8451,Crysmalia
8519,Fengse Huanxiang
4700,The Sopranos
8565,Cake Shop
7727,Nakayoshi
8154,Aldo
6007,Digital Devil Saga
5306,Game no Tatsujin
2712,007 Legends
2321,Riptide
2328,CellFactor
8792,Astro Duel
3070,Ray
5559,FreeStyle Street Basketball
3810,Family Party
1241,Lume
1269,Earth and Sky
7641,ef
1080,Sierra Discovery
7930,One Piece: Unlimited Cruise
2841,Петька и Василий Иванович
523,Namco
3246,Hahaoya Saimin Nikki
8882,Fun Run
4237,Zoids VS
7786,Bomberman Max
8656,Endless Frontier
962,Lips
8869,Mickey Mania
2200,Parodius
1158,Over The Hedge
6059,Kaeru Batake
7491,WWF
3466,Pong-Tron
2084,Natural Selection
6246,Noah's Ark
5561,Hexagon Dungeon
2513,Tingle
8729,Atari Flashback
8323,Konami Game Collection
2755,Capcom vs. SNK
1536,18 Wheels of Steel
8560,Dumb Ways to Draw
7987,Sega Ages
3700,ShaqDown
7962,touhou rock maiden
8901,Barran Kollil Saga
6965,Hollywood Monsters
1354,Sensible World of Soccer
4986,Pinball Hall of Fame
3150,Picdun
5189,Nemesis
2448,Goemon
6130,Trover Saves the Univers
8035,Don't Stop Corocco
2086,Half-Minute Hero
2930,Alpine Racer
6837,Jigsaw Pieces
279,PlanetSide
6949,The Legend of Banjo-Kazooie
7503,Type To Learn
7084,Turma da Mônica
4959,NBA Inside Drive
8135,Capri Saga
4988,Boogie
3376,Black Bass
5195,Riftwar Cycle
1152,Little Big Adventure
6970,Speed Driver
5109,Motion Gravure Series
6955,Kohime Enbu
2959,Garfield
1230,World of Aden
5176,Dragon Ball: Origins
2723,Puzzle League
367,Manhunt
7845,Hayami-chan
5520,Sakura Maid
5551,Bless
1137,Pure
3974,Tottemo Lucky Man
1678,Midwinter
7377,Karlson
5156,Shadow of Memories
6711,Celtic Kings
1198,Krondor
1846,Home Alone
2694,ICUPS
623,Putt-Putt
8377,Isoland
2177,Ori and the Blind Forest
7844,Tiger Barcodzz
4877,Electric Crayon
695,Mad Dog McCree
4793,Extreme Hangman
2127,Miner 2049er
1941,The Clockwork Man
4404,Grand Slam Tennis
5404,Epic 90's Journey
930,Edna & Harvey
1693,Stormlord
3496,Eisenwald
5604,Crypt of the Necrodancer
3639,Pingu
4836,Metris
78,Syndicate
